seed,config,model,dataset,tokens_trained,layer,expert,count
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,0,0,369
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,0,1,230
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,0,2,393
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,0,3,876
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,0,4,417
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,0,5,684
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,0,6,277
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,0,7,850
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,1,0,395
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,1,1,404
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,1,2,918
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,1,3,496
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,1,4,652
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,1,5,310
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,1,6,524
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,1,7,397
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,2,0,556
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,2,1,461
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,2,2,407
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,2,3,487
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,2,4,539
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,2,5,398
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,2,6,374
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,2,7,874
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,3,0,417
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,3,1,771
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,3,2,257
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,3,3,585
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,3,4,544
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,3,5,757
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,3,6,392
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,3,7,373
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,4,0,632
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,4,1,181
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,4,2,489
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,4,3,425
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,4,4,798
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,4,5,747
42,medium,deepseekv4_attnmhc,tiny_shakespeare,2048,4,6,391
